City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,mawlamyinegyunn,16.3833,95.2667,80.78,85,0,3.06,MM,1682286245
174,halikko,60.4,23.0833,50.34,77,98,8.97,FI,1682286245
175,nha trang,12.25,109.1833,78.8,84,12,6.13,VN,1682286246
176,sao gabriel da cachoeira,-0.1303,-67.0892,79.38,85,83,2.59,BR,1682286246
177,maragogi,-9.0122,-35.2225,77.79,82,76,8.14,BR,1682286246
178,nago,26.5881,127.9761,70.65,79,58,9.86,JP,1682286246
179,gloucester,51.8657,-2.2431,47.16,90,47,4.47,GB,1682286247
180,zemio,5.0314,25.1361,69.49,85,95,3.65,CF,1682286247
181,san antonio de pale,-1.4014,5.6325,82.13,74,29,5.77,GQ,1682286247
182,porto murtinho,-21.6989,-57.8825,72.52,59,1,4.65,BR,1682286247
183,ataq,14.5377,46.8319,72.14,67,35,7.9,YE,1682286248
184,alice springs,-23.7,133.8833,49.55,81,0,4.79,AU,1682286248
185,brookings,44.3114,-96.7984,46.74,42,75,8.05,US,1682286248
186,luanda,-8.8368,13.2343,82.4,78,40,8.05,AO,1682286150
187,santa elena de uairen,4.6167,-61.1333,66.4,95,100,1.97,VE,1682286248
188,nenjiang,49.1833,125.2167,34.84,40,0,5.23,CN,1682286249
189,juankoski,63.0667,28.35,36.25,99,100,6.93,FI,1682286249
190,gaspe,48.8334,-64.4819,37.62,87,100,5.75,CA,1682286189
191,dana point,33.467,-117.6981,80.17,72,51,4.0,US,1682286240
192,utrik,11.2278,169.8474,80.64,81,63,22.3,MH,1682286249
193,puerto baquerizo moreno,-0.9,-89.6,83.39,74,40,9.22,EC,1682285961
194,anadyr,64.75,177.4833,21.7,85,75,20.13,RU,1682286172
195,la passe,45.5549,-0.8967,53.83,84,18,13.94,FR,1682286250
196,gadzhiyevo,69.2551,33.3362,22.87,90,59,16.06,RU,1682286250
197,taoudenni,22.6783,-3.9836,87.33,9,0,5.19,ML,1682286250
198,zubtsov,56.1753,34.5894,53.74,55,99,5.19,RU,1682286251
199,greymouth,-42.4667,171.2,53.46,66,14,6.98,NZ,1682286251
200,hasaki,35.7333,140.8333,55.22,59,100,19.01,JP,1682286251
201,buncrana,55.1333,-7.45,45.18,74,100,10.51,IE,1682286251
202,chos malal,-37.3781,-70.2709,63.66,39,0,4.92,AR,1682286252
203,tierralta,8.1736,-76.0592,82.8,75,46,6.53,CO,1682286252
204,kone,-21.0595,164.8658,78.84,80,63,5.5,NC,1682286252
205,zheleznodorozhnyy,55.7503,38.0042,52.36,54,19,1.81,RU,1682286252
206,uturoa,-16.7333,-151.4333,82.63,76,93,12.84,PF,1682286253
207,goulburn,-34.75,149.7167,48.78,99,41,1.99,AU,1682286253
208,la ronge,55.1001,-105.2842,46.62,27,75,16.11,CA,1682286253
209,kingston,17.997,-76.7936,84.24,73,91,1.99,JM,1682285994
210,grand falls-windsor,48.9332,-55.6649,35.51,93,100,5.01,CA,1682286253
211,homestead meadows north,31.8496,-106.1729,73.49,24,0,11.5,US,1682286254
212,magadan,59.5667,150.8,34.66,63,87,18.16,RU,1682286254
213,poltavka,54.3663,71.7632,46.29,84,100,9.24,RU,1682286254
214,talnakh,69.4865,88.3972,31.21,91,95,7.78,RU,1682286254
215,lihue,21.9789,-159.3672,79.84,78,100,4.61,US,1682286254
216,new norfolk,-42.7826,147.0587,45.72,66,8,3.22,AU,1682286255
217,fortaleza,-3.7227,-38.5247,84.33,65,75,10.36,BR,1682286088
218,igarka,67.4667,86.5833,31.82,90,99,13.69,RU,1682286255
219,alexandria,31.2156,29.9553,61.34,73,3,10.65,EG,1682286037
220,kirovgrad,57.4297,60.0597,39.04,87,77,5.5,RU,1682286255
221,ambon,-3.6954,128.1814,77.14,94,20,4.61,ID,1682286256
222,bathsheba,13.2167,-59.5167,77.61,88,75,12.66,BB,1682286256
223,fortuna,40.5982,-124.1573,56.66,84,100,3.0,US,1682286256
224,labytnangi,66.6572,66.4183,21.78,77,100,13.33,RU,1682286257
225,jiazi,22.8779,116.067,71.44,91,100,10.31,CN,1682286257
226,ballito,-29.539,31.2144,68.25,94,0,1.14,ZA,1682286257
227,brisas de zicatela,15.8369,-97.0419,86.52,66,20,11.5,MX,1682286257
228,rehoboth,-23.3167,17.0833,69.58,42,67,9.04,NA,1682286257
229,qui nhon,13.7667,109.2333,75.67,88,73,5.7,VN,1682286258
230,atafu village,-8.5421,-172.5159,83.61,73,34,4.97,TK,1682286258
231,macia,-25.0269,33.0989,66.0,89,0,4.45,MZ,1682286258
232,aykhal,66.0,111.5,14.34,98,100,1.25,RU,1682286258
233,kuanda,56.3161,116.0806,22.42,74,100,9.26,RU,1682286258
234,port blair,11.6667,92.75,81.95,74,88,2.21,IN,1682286258
235,alvaraes,-3.2208,-64.8042,85.87,86,57,2.91,BR,1682286258
236,la'ie,21.6477,-157.9253,84.16,66,77,1.99,US,1682286259
237,midelt,32.6852,-4.7451,61.47,57,77,1.16,MA,1682286259
238,tabuk,17.4189,121.4443,72.28,94,69,2.59,PH,1682286259
239,nadi,-17.8,177.4167,82.4,65,20,3.44,FJ,1682286259
240,doka,13.5167,35.7667,90.16,14,77,6.62,SD,1682286259
241,gornozavodsk,58.3758,58.3211,35.1,89,22,2.46,RU,1682286260
242,dakhla,23.6848,-15.958,68.02,77,0,20.71,EH,1682286260
243,charters towers,-20.1,146.2667,67.93,78,99,12.21,AU,1682286260
244,mora,11.0461,14.1401,91.06,30,64,5.75,CM,1682286260
245,castro,-24.7911,-50.0119,56.43,79,0,3.71,BR,1682286260
246,ak-suu,42.4995,78.527,46.04,34,93,6.35,KG,1682286261
247,nar'yan-mar,67.6713,53.087,17.13,91,24,14.18,RU,1682286261
248,sao vicente,-23.9631,-46.3919,76.98,51,40,5.75,BR,1682286172
249,island harbour,50.724,-1.2758,48.04,86,56,3.0,GB,1682286261
250,oyem,1.5995,11.5793,69.13,94,20,2.66,GA,1682286261
251,dudinka,69.4058,86.1778,31.62,83,100,14.54,RU,1682286262
252,nova sintra,14.8667,-24.7167,68.67,75,4,24.9,CV,1682286262
253,berezovyy,51.6667,135.7,33.51,78,100,5.57,RU,1682286262
254,barranca,-10.75,-77.7667,76.62,74,9,9.19,PE,1682286262
255,guerrero negro,27.9769,-114.0611,68.5,59,10,15.97,MX,1682286262
256,troy,42.6056,-83.1499,49.57,53,100,9.22,US,1682285872
257,margate,51.3813,1.3862,47.89,88,99,5.99,GB,1682286263
258,maues,-3.3836,-57.7186,76.1,94,97,1.28,BR,1682286263
259,urengoy,65.9667,78.3667,32.59,97,100,13.24,RU,1682286263
260,nabire,-3.3667,135.4833,77.9,88,67,1.5,ID,1682286263
261,arraial do cabo,-22.9661,-42.0278,73.26,73,0,3.44,BR,1682286263
262,lensk,60.7253,114.9278,22.98,91,97,3.69,RU,1682286263
263,yuzhno-kurilsk,44.0306,145.8556,36.48,81,75,11.86,RU,1682286264
264,sabang,5.8933,95.3214,83.79,71,79,2.48,ID,1682286264
265,yoloten,37.2989,62.3597,76.21,16,79,11.59,TM,1682286264
266,atherton,53.5237,-2.4935,48.88,79,99,3.0,GB,1682286198
267,mitsamiouli,-11.3847,43.2844,81.32,77,40,3.22,KM,1682286264
268,east london,-33.0153,27.9116,68.22,62,100,7.78,ZA,1682286265
269,yemetsk,63.4721,41.7941,26.91,94,100,1.77,RU,1682286265
270,dungarvan,52.0881,-7.6253,51.57,87,86,5.01,IE,1682286265
271,kodinsk,58.6881,99.1844,26.08,89,100,4.32,RU,1682286265
272,remire-montjoly,4.9167,-52.2667,77.04,94,0,3.44,GF,1682286265
273,fada,9.5667,8.3,72.97,81,99,0.81,NG,1682286266
274,la sarre,48.8002,-79.1996,35.92,98,100,2.91,CA,1682286148
275,i-n-salah,27.1935,2.4607,82.74,18,100,18.9,DZ,1682286266
276,pacific grove,36.6177,-121.9166,70.39,82,100,11.5,US,1682286127
277,tutong,4.8,114.65,80.69,91,41,3.2,BN,1682286266
278,ouesso,1.6136,16.0517,72.01,91,57,2.37,CG,1682286266
279,horta,38.5333,-28.6333,62.02,94,100,5.99,PT,1682286193
280,ancud,-41.8697,-73.8203,51.08,82,89,1.59,CL,1682286267
281,rio grande,-32.035,-52.0986,73.51,87,100,10.8,BR,1682286267
282,sur,22.5667,59.5289,83.57,55,97,10.78,OM,1682286267
283,itoman,26.1247,127.6694,71.62,85,20,6.91,JP,1682286267
