,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
383,383,bandarbeyla,9.4942,50.8122,81.43,70,27,4.81,SO,1682286286,No hotel found
394,394,kupang,-10.1667,123.5833,75.78,94,20,2.3,ID,1682286288,BIB & LANG GUEST HOUSE
401,401,saint-pierre,-21.3393,55.4781,78.48,73,0,5.75,RE,1682286289,Tropic Hotel
412,412,ta`u,-14.2336,-169.5144,80.56,78,34,9.33,AS,1682286291,No hotel found
414,414,freetown,8.484,-13.2299,80.65,79,1,10.38,SL,1682286291,Formal Leona hotel
436,436,fale old settlement,-9.3852,-171.2468,83.57,74,21,5.08,TK,1682286295,No hotel found
459,459,manokwari,-0.8667,134.0833,78.64,79,33,2.06,ID,1682286299,Hotel Arfak
467,467,lagarto,-10.9172,-37.65,72.99,80,13,4.61,BR,1682286300,Pousada Santa Cruz
470,470,montoro,38.0241,-4.3834,72.18,42,4,3.09,ES,1682286301,Hostal Restaurante Montoro
474,474,rondonopolis,-16.4708,-54.6356,74.41,87,49,1.25,BR,1682286168,Hotel Sumaré
480,480,colonia menno,-22.3667,-59.8167,72.68,52,0,6.4,PY,1682286304,Hotel Mora
481,481,laguna,38.421,-121.4238,81.28,40,0,9.22,US,1682286304,Holiday Inn Express & Suites
482,482,caleta de carquin,-11.0925,-77.6267,77.34,74,19,11.45,PE,1682286304,Hotel Mi Choacan
494,494,tolanaro,-25.0319,46.9987,77.07,83,20,6.91,MG,1682286306,Hôtel Mahavokey
514,514,sihanoukville,10.6093,103.5296,78.75,94,40,4.61,KH,1682286309,Papagayo Guesthouse
520,520,bintulu,3.1667,113.0333,79.21,94,20,0.0,MY,1682286310,Bakun Inn
521,521,lazaro cardenas,17.9583,-102.2,83.97,58,3,8.77,MX,1682286311,Hotel Sol del Pacífico
540,540,kuala belait,4.5833,114.1833,78.96,91,44,4.0,BN,1682286314,Hotel Sentosa
555,555,waingapu,-9.6567,120.2641,77.4,87,34,9.86,ID,1682286317,HOTEL SANDLEWOOD
560,560,mahavelona,-17.6848,49.5087,73.38,93,28,4.12,MG,1682286318,Silouette
